Label,Compound Type,Condition,Template,Recommendation,Data Source,Field Mapping Notes,Priority
⚪ Trade Reference Issues,Outstanding Reminder Letters,trade_ref_reminder_count >= 1,"[trade_ref_reminder_count] reminder letter(s) sent by trade creditors.","Reminder letters indicate persistent payment issues. Settle these accounts immediately to prevent escalation to legal action.",Trade Reference (E),"Section 4: Reminders / Letter of Demand for Payment",Medium
⚫ Legal Risk,Active Bankruptcy Proceedings,bankruptcy_active == true,"Active bankruptcy proceedings found: [case_details].","Bankruptcy proceedings are the most severe credit event. Engage legal counsel immediately. This will remain on your report for years and severely restrict credit access.",Legal Records (D1),"D1 section > Special Remark = 'BANKRUPTCY NOTICE ISSUED' or similar | Status != 'CASE FULLY SETTLED'",Critical
⚫ Legal Risk,Settled Legal Cases,legal_cases_settled > 0,"You have [legal_cases_settled] settled legal case(s) on record.","While settled, these cases remain on your report for up to 7 years. Ensure all documentation shows 'CASE FULLY SETTLED' and request updates if paid but not reflected.",Legal Records (D1),"Count rows where Settlement = 'CASE FULLY SETTLED'",Medium
⚫ Legal Risk,Active Legal Summons,legal_cases_active > 0,"You have [legal_cases_active] active legal case(s): [case_types].","Active legal cases (summons, civil suits) severely impact creditworthiness. Engage with legal counsel and creditors immediately to settle before judgment.",Legal Records (D1),"Count rows where Settlement is empty or not 'CASE FULLY SETTLED' | Case Type column",Critical
⚫ Legal Risk,Company Winding Up,director_windingup_company > 0,"You are a director of [company_name] which has winding-up proceedings.","Being a director of a company in winding-up affects your personal credit. This does not imply personal liability unless you are a guarantor, but address it with legal counsel.",Legal Records (D4),"D4 section: Director of Company with Petition or Winding-Up Order Issued",High
🔵 Lender Concentration,Multiple Accounts Same Lender,accounts_per_lender > 2,"You have [accounts_per_lender] accounts with [lender_name].","Concentration with one lender increases risk if that relationship sours. Consider diversifying across multiple institutions.",CCRIS,"Group Loan Information by 'Lender Type' and count | Flag if any lender has >2 accounts",Low
🔵 Secured Debt Heavy,High Secured Loan Ratio,secured_loan_ratio > 70,"[secured_loan_ratio]% of your debt is secured (property/vehicle collateral).","Heavy reliance on secured debt may limit future borrowing capacity. Balance with unsecured credit to show diverse credit management.",CCRIS,"Calculate: Sum(Outstanding where Col Type = 10 or 30) / Total Outstanding * 100",Low
🟢 Positive Pattern,Excellent Payment History,payment_conduct_all_zero == true,"Your [Facility] shows excellent payment history with no missed payments in the last 12 months.","Outstanding! Consistent on-time payments are the foundation of good credit. Continue this pattern to maintain and improve your score.",CCRIS,"All 12 months in Conduct of Account show '0'",Positive
🟢 Low Utilization,Healthy Credit Use,creditutilizationratio < 30,"Your [Facility] utilization of [creditutilizationratio]% is within the ideal range.","Excellent! Keeping utilization below 30% is a credit best practice and positively impacts your score.",CCRIS,"For revolving credit only | Mark as positive signal",Positive
🟢 Long Credit History,Established Credit,oldest_account_months >= 60,"Your credit history spans [oldest_account_years] years, showing established credit experience.","A long credit history demonstrates stability and experience managing credit. This is a strong positive factor for lenders.",CCRIS,"Calculate years: oldest_account_months / 12",Positive
🟢 Low Application Rate,Selective Credit Seeking,numapplicationslast12months <= 1,"You've made [numapplicationslast12months] application(s) in the past year, showing selective credit use.","Applying for credit only when needed demonstrates financial discipline and planning.",CCRIS Summary,"Credit Applications section",Positive
